polygonLon,polygonLat,addressLon,addressLat,clusterNum
-79.999781,41.387206,-79.86826846,41.35607641,0
-79.99978,41.38742,-79.85022972,41.33667584,0
-79.99978,41.387451,-79.83389776,41.33529909,0
-79.99978,41.388062,-79.83337735,41.36841061,0
-79.99978,41.388276,-79.87164667,41.35242821,0
-79.999779,41.388295,-79.85195865,41.33806851,0
-79.999779,41.388352,-79.86073085,41.37038059,0
-79.999779,41.388372,-79.85852717,41.37056381,0
-79.999779,41.388406,-79.84893377,41.34933014,0
-79.99978,41.388462,-79.85532307,41.3802751,0
-79.99978,41.388509,-79.84754827,41.37830375,0
-79.999781,41.388544,-79.84741594,41.35379773,0
-79.999781,41.389434,-79.84711614,41.37728393,0
-79.999781,41.392106,-79.85058964,41.3372806,0
-79.999781,41.392997,-79.84688754,41.37931119,0
-79.99978,41.395077,-79.84038737,41.37564099,0
-79.99978,41.399438,-79.83360202,41.36378605,0
-79.99978,41.399795,-79.84284708,41.36206381,0
-79.999779,41.401317,-79.83980438,41.36205791,0
-79.999779,41.403398,-79.83873322,41.38093337,0
-79.999779,41.403417,-79.83903202,41.3755904,0
-79.999779,41.403474,-79.87384889,41.3558697,0
-79.99978,41.403495,-79.84478561,41.35131989,0
-79.999779,41.403581,-79.84370182,41.36373265,0
-79.999779,41.403848,-79.86873397,41.36029852,0
-79.999779,41.403937,-79.84730615,41.38197468,0
-79.999779,41.405636,-79.85502379,41.3753333,0
-79.99978,41.40914,-79.82898795,41.35951006,0
-79.99978,41.410735,-79.8528121,41.35970172,0
-79.99978,41.412435,-79.87055106,41.35472712,0
-79.99978,41.412474,-79.85702263,41.34541568,0
-79.999784,41.41259,-79.84219121,41.35523776,0
-79.999785,41.412622,-79.84336384,41.38103523,0
-79.999787,41.412696,-79.84316606,41.35379293,0
-79.999789,41.412748,-79.82160051,41.36319291,0
-79.999781,41.412897,-79.83061233,41.36151193,0
-79.999779,41.412964,-79.85603391,41.37403152,0
-79.999784,41.41378,-79.84036192,41.37569441,0
-79.999783,41.414889,-79.84323257,41.38153748,0
-79.99978,41.420666,-79.85782209,41.34644143,0
-79.99978,41.422592,-79.8550204,41.34215326,0
-79.999781,41.422626,-79.83876881,41.37550266,0
-79.999778,41.42264,-79.87508364,41.34666305,0
-79.999777,41.422688,-79.83017008,41.33423865,0
-79.999777,41.422703,-79.82444202,41.36600166,0
-79.999777,41.4233,-79.84484527,41.36347675,0
-79.99978,41.425091,-79.83972379,41.3756346,0
-79.999781,41.425688,-79.84291506,41.35463858,0
-79.99978,41.427025,-79.87426057,41.35930116,0
-79.999778,41.429587,-79.85107468,41.3384223,0
-79.999777,41.431035,-79.85700841,41.37030858,0
-79.999777,41.432373,-79.86526901,41.36313428,0
-79.999777,41.432494,-79.8256669,41.37095985,0
-79.99978,41.432857,-79.82121449,41.36444431,0
-79.999781,41.432978,-79.83912967,41.3755505,0
-79.99978,41.433002,-79.83159175,41.36444077,0
-79.99978,41.433077,-79.85996156,41.36813442,0
-79.99978,41.433111,-79.84524931,41.346326,0
-79.99978,41.433136,-79.87447511,41.3584002,0
-79.99978,41.433238,-79.85640083,41.35638143,0
-79.999782,41.433272,-79.8710966,41.35946277,0
-79.999781,41.435203,-79.84193614,41.35699252,0
-79.999781,41.440998,-79.86892292,41.3613933,0
-79.999781,41.44293,-79.86682555,41.36354313,0
-79.99978,41.442962,-79.87021503,41.35502927,0
-79.99978,41.442998,-79.8440468,41.35386759,0
-79.99978,41.443104,-79.84889185,41.38181924,0
-79.999782,41.443138,-79.84895409,41.38139556,0
-79.999781,41.443869,-79.84713952,41.37181987,0
-79.999781,41.446064,-79.8439704,41.36357052,0
-79.999781,41.446796,-79.82353858,41.3621831,0
-79.99978,41.44681,-79.81915293,41.35856821,0
-79.99978,41.446858,-79.83101168,41.35844767,0
-79.999779,41.446881,-79.85338494,41.34326245,0
-79.999776,41.446923,-79.85731097,41.37137377,0
-79.999776,41.446938,-79.85059751,41.33713087,0
-79.999777,41.448712,-79.85092437,41.33766018,0
-79.999782,41.45368,-79.83811012,41.37489459,0
-79.999781,41.454035,-79.85085107,41.36263149,0
-79.999781,41.45581,-79.84474816,41.38022517,0
-79.99978,41.455833,-79.8434363,41.36987705,0
-79.999781,41.45585,-79.85779126,41.36963405,0
-79.99978,41.455901,-79.84514804,41.35171554,0
-79.99978,41.455925,-79.82634228,41.3699211,0
-79.99978,41.455945,-79.87366079,41.36238536,0
-79.999781,41.456006,-79.83840705,41.37517183,0
-79.999782,41.456028,-79.842372,41.35713977,0
-79.999781,41.456814,-79.84223617,41.35611992,0
-79.999781,41.459172,-79.84189927,41.3571318,0
-79.999781,41.459959,-79.85899398,41.36766577,0
-79.99978,41.46053,-79.85436864,41.34486801,0
-79.99978,41.462243,-79.84755982,41.3810861,0
-79.99978,41.462815,-79.85347814,41.33767026,0
-79.999778,41.462997,-79.8721141,41.35866631,0
-79.999781,41.463084,-79.84130752,41.36168467,0
-79.999781,41.463134,-79.84912795,41.38091712,0
-79.999781,41.463287,-79.87481849,41.35915,0
-79.999781,41.463338,-79.85337855,41.34370419,0
-79.99978,41.463403,-79.85648928,41.37109025,0
-79.99978,41.463557,-79.83277216,41.36406098,0
-79.99978,41.463636,-79.87326675,41.35585243,0
-79.99978,41.463711,-79.85150996,41.33850369,0
-79.99978,41.463736,-79.85071767,41.37940052,0
-79.999784,41.463817,-79.82451679,41.34615786,0
-79.999789,41.463844,-79.8320495,41.36023579,0
-79.999786,41.463892,-79.85231424,41.33826275,0
-79.999782,41.464039,-79.84848854,41.3361539,0
-79.999781,41.464091,-79.84423215,41.38083986,0
-79.999781,41.46414,-79.84710599,41.3805996,0
-79.999781,41.464287,-79.86929224,41.35996152,0
-79.999781,41.464336,-79.84297303,41.38014277,0
-79.999781,41.464366,-79.85331723,41.34274178,0
-79.999781,41.464456,-79.83104373,41.36681294,0
-79.999781,41.464486,-79.85986386,41.37297263,0
