polygonLon,polygonLat,addressLon,addressLat,clusterNum
-80.166472,41.000928,-80.0086867,41.1172659,0
-80.162556,41.004959,-80.0124445,41.1340657,0
-80.16223,41.005295,-80.0241838,41.1382192,0
-80.161461,41.006086,-80.0047879,41.1360333,0
-80.152143,41.015678,-80.0062352,41.1375961,0
-80.151502,41.016335,-79.9912267,41.1309786,0
-80.150677,41.017186,-80.017276,41.1354156,0
-80.143928,41.024129,-80.0042287,41.1060529,0
-80.143067,41.025003,-79.9975305,41.1056668,0
-80.138543,41.029682,-80.009155,41.1385372,0
-80.137926,41.030313,-80.0126029,41.1347921,0
-80.137747,41.030496,-79.9920332,41.1313504,0
-80.13655,41.031721,-80.0049404,41.1347337,0
-80.136285,41.031992,-79.9950957,41.1058894,0
-80.135978,41.032305,-80.0180518,41.1359375,0
-80.135155,41.033148,-80.0205918,41.138853,0
-80.13314,41.035208,-80.0034106,41.133633,0
-80.13188,41.036511,-80.0042615,41.1148689,0
-80.127402,41.041144,-80.0048931,41.1537814,0
-80.127076,41.041482,-80.0092865,41.1400147,0
-80.125487,41.043125,-80.007491,41.1359193,0
-80.122085,41.046592,-79.9964774,41.1327425,0
-80.118114,41.050724,-80.0088369,41.1365598,0
-80.113362,41.055607,-79.9909533,41.1056742,0
-80.111538,41.057481,-80.001697,41.1374609,0
-80.101859,41.067401,-80.008179,41.1450527,0
-80.101525,41.067744,-80.0160239,41.1381393,0
-80.101219,41.068057,-80.0094643,41.100827,0
-80.099827,41.069484,-80.0092405,41.1341788,0
-80.098294,41.071054,-80.0214462,41.1380534,0
-80.09786,41.070675,-80.0025921,41.1362743,0
-80.096861,41.069804,-80.0155794,41.1355025,0
-80.09431,41.072333,-80.0109406,41.1368014,0
-80.087571,41.079016,-80.0139622,41.1021187,0
-80.087437,41.079149,-80.0111741,41.1044214,0
-80.086694,41.079954,-80.0098371,41.1411389,0
-80.084259,41.082595,-80.0017345,41.13738,0
-80.083808,41.083082,-80.0102393,41.1398323,0
-80.082457,41.084545,-79.9955976,41.1058792,0
-80.082007,41.085033,-80.0060884,41.1367506,0
-80.080489,41.086484,-80.0349357,41.1197781,0
-80.075938,41.09084,-80.0091778,41.1329072,0
-80.074422,41.092292,-80.0092933,41.1395423,0
-80.073827,41.092927,-80.0112293,41.1365129,0
-80.072044,41.094835,-80.0048348,41.1056649,0
-80.07145,41.095471,-80.0176599,41.1354255,0
-80.071417,41.095509,-80.0110408,41.1357965,0
-80.071375,41.095559,-80.0090698,41.1358637,0
-80.07133,41.095612,-80.0189824,41.1385084,0
-80.071318,41.095625,-80.0038665,41.0991113,0
-80.071286,41.095664,-79.9937116,41.1450875,0
-80.070779,41.096206,-80.0041208,41.1360655,0
-80.069262,41.097832,-80.0218185,41.1391363,0
-80.069015,41.098098,-80.0062535,41.1150583,0
-80.068886,41.098236,-80.0113945,41.1421844,0
-80.068757,41.098375,-80.0088051,41.1008663,0
-80.068676,41.098462,-80.0185101,41.135446,0
-80.06848,41.098671,-80.008445,41.1444297,0
-80.067649,41.099563,-80.0178559,41.1231347,0
-80.06742,41.09981,-80.0088051,41.1012574,0
-80.067373,41.09986,-80.0094085,41.1347604,0
-80.057716,41.109735,-80.0091448,41.1313538,0
-80.057267,41.110193,-80.0116419,41.1337215,0
-80.056299,41.111185,-80.0058839,41.1064809,0
-80.055923,41.111569,-80.0050394,41.1370904,0
-80.055475,41.112028,-80.0196303,41.1231832,0
-80.054487,41.113038,-80.0071952,41.1435498,0
-80.051526,41.116069,-80.0102403,41.1318169,0
-80.050539,41.11708,-80.0116182,41.1333835,0
-80.049844,41.117792,-80.0115224,41.1318536,0
-80.047759,41.119928,-80.0155378,41.1410703,0
-80.047064,41.12064,-80.0126541,41.1026529,0
-80.046397,41.121372,-80.0257143,41.1069069,0
-80.044402,41.123573,-80.0251683,41.1386485,0
-80.043737,41.124306,-80.0038566,41.1053169,0
-80.043685,41.124353,-80.0087061,41.1310837,0
-80.043531,41.124496,-80.0111937,41.1365163,0
-80.04348,41.124543,-80.0239143,41.1221273,0
-80.043408,41.124613,-80.0115559,41.1365082,0
-80.043196,41.124827,-80.0105031,41.1367732,0
-80.043127,41.124899,-80.0155937,41.1369191,0
-80.043094,41.124931,-80.0099011,41.1395374,0
-80.042996,41.125028,-80.0061255,41.1051856,0
-80.042963,41.12506,-79.9918663,41.1370485,0
-80.042829,41.125218,-79.9975857,41.106032,0
-80.042096,41.126081,-80.0149932,41.1539475,0
-80.040527,41.127781,-80.0165376,41.1377961,0
-80.038958,41.129481,-80.0045488,41.1532708,0
-80.038377,41.130112,-80.0029522,41.1062146,0
-80.037795,41.130743,-80.0072962,41.1428857,0
-80.035921,41.132775,-80.0165127,41.1379646,0
-80.033657,41.135229,-80.0085553,41.1135766,0
-80.033218,41.135704,-80.0150923,41.1356976,0
-80.03278,41.136178,-80.0130149,41.1365177,0
-80.031139,41.137958,-80.0094396,41.1011993,0
-80.029499,41.139738,-79.9942137,41.1411381,0
-80.029002,41.140276,-80.0032495,41.1367778,0
-80.028737,41.140562,-80.0035913,41.1353103,0
-80.027945,41.14142,-80.0322376,41.1187933,0
-80.027681,41.141707,-80.0018599,41.1361492,0
-80.027085,41.142352,-80.008914,41.1469263,0
-80.0253,41.144287,-80.0058938,41.1147929,0
-80.024705,41.144933,-80.0243803,41.1386603,0
-80.024685,41.144953,-80.0285464,41.1400424,0
-80.024628,41.145014,-80.0249685,41.1391752,0
-80.02461,41.145035,-80.01167,41.134497,0
-80.024248,41.145426,-80.0292463,41.1337591,0
-80.023044,41.146732,-80.0098998,41.1297274,0
-80.018348,41.151824,-80.0068586,41.1058335,0
-80.016783,41.153522,-80.0092173,41.1317333,0
-80.016126,41.154233,-80.0087088,41.1009265,0
-80.014158,41.156367,-80.0010629,41.1057024,0
-80.013502,41.157079,-80.0149138,41.1334584,0
-80.013328,41.157267,-80.0126033,41.1507169,0
-80.012805,41.157833,-80.0167438,41.1390185,0
-80.012632,41.158022,-80.008638,41.1143919,0
-80.011154,41.159624,-80.0049477,41.135845,0
-80.006723,41.16443,-80.0130689,41.1015852,0
-80.005246,41.166033,-80.0114248,41.1309538,0
-80.004708,41.166615,-80.0101606,41.1068291,0
-80.003094,41.168361,-80.01112,41.1328751,0
-80.002557,41.168944,-80.0072276,41.1149085,0
-80.002001,41.169527,-80.0085578,41.1311105,0
-80.000334,41.171277,-80.0004956,41.1213784,0
-79.999779,41.171861,-80.0171026,41.1253139,0
-79.998155,41.171875,-80.0114343,41.1016506,0
-79.994049,41.171913,-80.0107016,41.1267968,0
-79.993284,41.171916,-80.0112812,41.1365107,0
-79.991661,41.171924,-80.0092233,41.1440101,0
-79.991021,41.171927,-80.031842,41.1144087,0
-79.990634,41.171929,-79.9983678,41.1060481,0
-79.989666,41.171938,-80.0035511,40.9928,1
-79.989101,41.171943,-79.9838342,40.9971823,1
-79.989064,41.171944,-79.9850331,40.9976685,1
-79.988462,41.171948,-79.982458,40.9790685,1
-79.988474,41.171961,-79.9829066,40.9987838,1
-79.988136,41.171952,-79.9891737,41.0206437,1
-79.987505,41.171952,-79.9825413,40.9990845,1
-79.987128,41.171945,-79.9978819,41.0060215,1
-79.986989,41.171942,-79.9782197,40.98462,1
-79.986793,41.171928,-79.9841378,40.9968265,1
-79.986042,41.171907,-79.988187,40.9866627,1
-79.983789,41.171846,-79.9821416,40.9987059,1
-79.983039,41.171826,-79.9952482,40.9951108,1
-79.982691,41.171824,-80.0021029,41.0115933,1
-79.981771,41.171818,-79.9824825,40.9975351,1
-79.981763,41.171471,-79.9816414,40.9961368,1
-79.98177,41.169758,-79.9904924,40.9964202,1
-79.981698,41.166484,-80.0018847,40.9944083,1
-79.981667,41.164106,-79.9831647,40.9970068,1
-79.981666,41.164027,-79.9944155,41.0016946,1
-79.981527,41.153369,-79.9848286,40.9981483,1
-79.98151,41.1516,-79.9840063,40.9865556,1
-79.98146,41.146294,-79.9857165,40.9969604,1
-79.981456,41.145845,-79.9886502,41.021706,1
-79.981412,41.144527,-79.9833699,40.998868,1
-79.981337,41.138715,-79.9884356,40.991163,1
-79.981304,41.136221,-79.9846432,40.982117,1
-79.981284,41.134702,-79.9841856,40.9948342,1
-79.981243,41.131521,-80.0058544,40.9842537,1
-79.981237,41.131049,-79.9803966,41.0130884,1
-79.981202,41.128421,-79.98875,40.9982802,1
-79.981179,41.126622,-79.9828413,41.0150763,1
-79.981172,41.126134,-79.9829878,40.9991152,1
-79.981164,41.125472,-79.9914657,41.0039198,1
-79.981122,41.122272,-79.9972248,41.02369,1
-79.981106,41.121613,-79.9854785,40.9977534,1
-79.981088,41.119252,-79.9833711,40.9975703,1
-79.98108,41.11904,-79.9883412,40.9936277,1
-79.981077,41.118821,-79.9792443,40.986356,1
-79.981074,41.118679,-79.9837008,40.9968969,1
-79.981072,41.118418,-79.9822319,40.9993187,1
-79.981067,41.118117,-79.9916418,40.994702,1
-79.981067,41.118016,-79.9849239,40.9971031,1
-79.981064,41.117872,-79.9807521,40.9943144,1
-79.981061,41.11762,-79.9841387,40.9993376,1
-79.981059,41.117441,-79.9869281,40.9968863,1
-79.981058,41.117361,-79.9904479,40.9997157,1
-79.981036,41.115659,-79.9845244,40.9990635,1
-79.981034,41.115533,-79.9832682,40.9834688,1
-79.981025,41.115443,-79.9816582,40.9984076,1
-79.981029,41.11541,-79.9899265,40.9964475,1
-79.981036,41.115389,-79.9906675,41.0190563,1
-79.98103,41.115218,-79.9843222,40.9980599,1
-79.981015,41.114046,-79.9847225,40.9964263,1
-79.981003,41.113988,-79.9993105,40.9930018,1
-79.981014,41.113931,-79.9817724,40.9893062,1
-79.981001,41.112953,-79.9913976,40.9928294,1
-79.98099,41.112087,-79.9830385,40.9967298,1
-79.980985,41.111616,-79.9833429,40.9993765,1
-79.980971,41.110672,-80.0065001,40.9954027,1
-79.980905,41.105635,-79.9855679,40.9970572,1
-79.980902,41.105377,-79.979956,40.9761385,1
-79.980901,41.105346,-79.9839742,40.9974516,1
-79.980885,41.104394,-79.9929542,40.9942752,1
-79.98086,41.102904,-79.9962003,41.0231207,1
-79.980834,41.101445,-79.9836157,41.0204937,1
-79.980818,41.100463,-79.9854468,40.9974684,1
-79.980826,41.100305,-80.0834836,40.8971285,2
-79.980851,41.099833,-80.0522599,40.8873992,2
-79.98085,41.099674,-80.0852225,40.8944186,2
-79.980846,41.09916,-80.0476918,40.9044072,2
-79.980814,41.097866,-80.0544352,40.9134148,2
-79.9808,41.0951,-80.0466852,40.9032496,2
-79.980789,41.092888,-80.0531095,40.9016591,2
-79.980787,41.092741,-80.0479683,40.9070707,2
-79.980796,41.092293,-80.0667581,40.9112054,2
-79.980823,41.090829,-80.060084,40.9088166,2
-79.980839,41.089986,-80.0398275,40.9119762,2
-79.980846,41.089565,-80.0495698,40.9090954,2
-79.980852,41.089234,-80.0459547,40.9010608,2
-79.980872,41.08812,-80.0671192,40.9115388,2
-79.98088,41.087748,-80.0655529,40.9111822,2
-79.980973,41.082682,-80.0434724,40.9055811,2
-79.981089,41.076392,-80.0416966,40.9074888,2
-79.981229,41.068773,-80.0481064,40.9317111,2
-79.981264,41.066859,-80.0331628,40.9066774,2
-79.98099,41.05965,-80.0862669,40.8987789,2
-79.980778,41.054079,-80.0364879,40.9016854,2
-79.980409,41.044394,-80.0490861,40.9201048,2
-79.980367,41.043292,-80.0756489,40.8970945,2
-79.979983,41.033195,-80.0553223,40.9045159,2
-79.979916,41.031432,-80.0537924,40.9135692,2
-79.979901,41.031051,-80.0420951,40.9060685,2
-79.979867,41.030152,-80.0464106,40.903622,2
-79.979822,41.028962,-80.0486648,40.9085176,2
-79.979785,41.02801,-80.0441057,40.9044324,2
-79.979784,41.027992,-80.0840854,40.9047996,2
-79.979645,41.026188,-80.045736,40.9104993,2
-79.979207,41.020473,-80.0487726,40.9253601,2
-79.979206,41.020456,-80.086526,40.9009014,2
-79.979052,41.016721,-80.0792312,40.9069428,2
-79.979031,41.016188,-80.0475116,40.905411,2
-79.979009,41.015659,-80.0577624,40.8897558,2
-79.979,41.015465,-80.0340995,40.9221575,2
-79.978906,41.013077,-80.0501078,40.9046184,2
-79.978869,41.0123,-80.0588328,40.9093504,2
-79.978852,41.01189,-80.0575241,40.8911653,2
-79.978552,41.004621,-80.0447354,40.9061572,2
-79.978515,41.003668,-80.0368676,40.8916219,2
-79.97837,41.000209,-80.0617486,40.9179267,2
-79.978213,40.996502,-80.0479921,40.906269,2
-79.978174,40.995569,-80.0458841,40.9039505,2
-79.977875,40.988251,-80.0460358,40.9014262,2
-79.977834,40.987553,-80.0346109,40.9091792,2
-79.97779,40.986335,-80.0804382,40.8995587,2
-79.977758,40.985422,-80.0458159,40.9110944,2
-79.977749,40.985209,-80.0468766,40.9207821,2
-79.977723,40.984571,-80.0596945,40.9107467,2
-79.977715,40.984359,-80.045757,40.9101407,2
-79.977433,40.977528,-80.0655559,40.9110438,2
-79.977272,40.973649,-80.0579215,40.888832,2
-79.97722,40.97238,-80.0512539,40.9122818,2
-79.977187,40.971894,-80.0394351,40.907929,2
-79.97718,40.971846,-80.0485851,40.9037343,2
-79.976801,40.969198,-80.0652871,40.9083015,2
-79.976627,40.968274,-80.0296272,40.9031911,2
-79.976623,40.968012,-80.0722613,40.9030801,2
-79.975823,40.962514,-80.0603359,40.8880435,2
-79.974848,40.95614,-80.0836707,40.8987713,2
-79.974465,40.94584,-80.051046,40.9115719,2
-79.974377,40.942774,-80.0412912,40.9075047,2
-79.974391,40.94155,-80.0372424,40.9009842,2
-79.974042,40.933249,-80.0474083,40.9121226,2
-79.973998,40.932014,-80.0582311,40.9049351,2
-79.973705,40.923587,-80.067199,40.9128928,2
-79.9734,40.915061,-80.046492,40.9038576,2
-79.973097,40.906396,-80.0795903,40.8935491,2
-79.972402,40.886679,-80.0620002,40.9100376,2
-79.972489,40.886679,-80.0439913,40.9052526,2
-79.973302,40.886665,-80.060891,40.9088159,2
-79.97375,40.886659,-80.0477038,40.9320606,2
-79.97395,40.886663,-80.0373985,40.8996207,2
-79.974869,40.886643,-80.0834293,40.8964152,2
-79.975155,40.886645,-80.0835598,40.9020232,2
-79.976155,40.886625,-80.0482626,40.9074725,2
-79.976327,40.886622,-80.0826223,40.8946757,2
-79.978367,40.886592,-80.0671552,40.9116818,2
-79.978646,40.886589,-80.0467476,40.9061079,2
-79.978792,40.886587,-80.0807011,40.9090109,2
-79.979065,40.886584,-80.0576451,40.8933978,2
-79.979083,40.886584,-80.0487003,40.9035152,2
-79.979617,40.886567,-80.0857067,40.8987704,2
-79.980862,40.886557,-80.0482864,40.9042733,2
-79.981485,40.886548,-80.0549103,40.9060569,2
-79.986889,40.886494,-80.0499097,40.9223413,2
-79.9872,40.886466,-80.0663706,40.9112553,2
-79.991406,40.886388,-80.0660238,40.9111415,2
-79.992863,40.886364,-80.0535041,40.9130698,2
-79.994262,40.886338,-80.0356098,40.9095531,2
-79.995322,40.88632,-80.0836479,40.8923337,2
-79.999128,40.886252,-80.0412121,40.9063409,2
-80.003754,40.88617,-80.0531377,40.8977,2
-80.015785,40.88595,-80.0453587,40.9038914,2
-80.023429,40.885811,-80.05205,40.9044617,2
-80.024844,40.88579,-80.0466345,40.9044337,2
